Description,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4
All industry total,731603,752540.2,770136.4,800103.8,808667.1,827812.5,839134.8,855028.5,866533.9,876764.5,893191.9,902846.4,910255.4,922776.2,933044.3,944884.6
  Private industries,653403.7,674033.8,690001.9,719516.5,727084.9,744580.4,755481,770948.7,781143,790637.1,805570.4,813721,820172.7,831842.5,840487.9,851562.3
"      Agriculture, forestry, fishing and hunting",4525.2,6299,6945.9,6527.5,5712.5,7157.4,7285.4,7067.2,9042.2,7999.4,7450.3,6687.4,6125.4,5761.9,6337.9,6615
"      Mining, quarrying, and oil and gas extraction",5320.6,5572.4,5751.3,6376.8,6086.6,7388.9,6997.2,6227.3,6233.7,6068.9,6759.7,6788.9,6084.7,6244.5,5991.2,5758.5
      Utilities,11975.5,12102.8,12314.8,12966.8,11638.3,13625.9,14383,14394.1,13968.4,14912.4,15440.9,14963.3,16001.2,16150.4,15944.3,16011.4
      Construction,29270.1,28413.2,28944.4,30222.1,31208.4,31371.7,31580.5,33430.4,33953,33955.1,34709,36173.6,37331.2,38190.6,38216.5,39022.9
      Manufacturing,104975.7,109769.2,114159.1,123686.7,126939.7,129380.6,129875.7,132967.8,130593.2,133011.1,135926,136511.7,135722,137756.9,138308,139695.2
          Durable goods manufacturing,54980.8,56095.1,56416.3,60588.2,61430.7,62842.6,65787,66415.8,66711.9,68674.3,68670.3,70334.7,69628.8,70820.5,70827.8,71342.4
          Nondurable goods manufacturing,49994.9,53674.1,57742.9,63098.5,65508.9,66538,64088.7,66552,63881.3,64336.8,67255.8,66177,66093.2,66936.4,67480.2,68352.8
      Wholesale trade,46737.7,47622.9,48413.7,50465.4,52576.6,53355.1,53868.5,54939.6,54501.8,54527.9,55648.9,55588.8,56351.9,56460.8,57480.6,58266
      Retail trade,50757.9,52149.3,51230.2,52721.3,52360.3,52700.3,53282.6,55936.8,57083.4,57497.5,59633.3,60295.7,60669.2,60755,61474.3,61760.5
      Transportation and warehousing,25763.3,26343.8,28450.4,29901.6,29167.5,30043.7,30206.2,30350.3,30216.1,30074.7,29432.1,29418,29195.9,29593,29839.3,29811.5
      Information,18061,18971.7,19072.8,18710.2,18566.4,18706.5,18875.9,19747.2,19160,20041,20659.1,20899.5,20762,20913.3,21490.6,21723
      Finance and insurance,79614.6,83456.7,85912,89716.7,90980,92725.4,95009.2,94449.3,96607.2,97344.5,97880.9,100737.4,99712,102244.3,103090.6,106271.7
      Real estate and rental and leasing,83974.7,85526.5,87409.3,89827.1,90904.9,93116.5,95090.9,97392.8,99861,101811.6,103509.7,105027.1,106739.3,108159.4,109288.7,110527.7
"      Professional, scientific, and technical services",39226.1,40208.9,41515.9,42752,43758.2,44437.3,45438.3,47096.3,48279.4,48943.9,49791.6,50394.3,51187,51995.7,52999,53679.7
      Management of companies and enterprises,22844.9,23499.9,23149,24630.4,24305.6,25275.5,24834.3,25092.7,25018.3,25926.4,26966.2,26395.4,27462.3,27844.8,28463.9,28779.8
      Administrative and support and waste management and remediation services,22957.3,22460.4,23148.3,24244.6,25493,25526.4,26168.3,26644,26670.8,27129.1,27183.8,27407.4,27920.9,28633.3,28563.7,28884.3
      Educational services,5837.8,6016.3,6152.9,6260.9,6382.5,6544.4,6719,6839.6,7012.9,7066.8,7175,7381.8,7505.2,7433.9,7640.2,7650
      Health care and social assistance,62733.2,64005.9,63945.7,66076,66760.6,67627.7,69039,69717.9,72266.2,73069.2,75293.9,76042.7,77703.7,78971,80172.8,81457
"      Arts, entertainment, and recreation",6282.3,6593.9,6855.3,7112.3,7023.8,7396.7,7486.5,7968.6,8520.3,8425.5,8587.9,8839,8861.2,9416.5,9319,9424.1
      Accommodation and food services,17606,19547.1,20604,21068,20509.4,21038.6,21621.5,22409.1,23750,24381,24979,25160.7,25411.4,25473.4,25728.7,25926.7
      Other services (except government and government enterprises),14939.8,15473.8,16026.8,16250,16710.6,17162.1,17719.2,18277.7,18405.3,18451,18543,19008.3,19426.1,19843.8,20138.6,20297.5
  Government and government enterprises,78199.3,78506.4,80134.5,80587.3,81582.2,83232,83653.8,84079.8,85390.9,86127.4,87621.6,89125.4,90082.7,90933.7,92556.4,93322.4
    Federal civilian,13221,13314.9,13475.4,13645,13858.9,13986.9,14148.8,14359.5,14686.1,14969.4,15279.1,15479.7,15776.9,15933.2,16101.6,16391.5
    Military,5154.5,5255.5,5352.7,5480.7,5571.6,5718.9,5853.5,5912.7,6142,6211.4,6320.8,6406.1,6406.2,6485.9,6563.6,6632.8
    State and local,59823.8,59936,61306.4,61461.5,62151.7,63526.2,63651.6,63807.6,64562.8,64946.6,66021.7,67239.6,67899.6,68514.6,69891.2,70298.1
