GeoFips,GeoName,LineCode,Description,2021:Q1,2021:Q2,2021:Q3,2021:Q4
39000,Ohio,1,All industry total,731603,752540.2,770136.4,800103.8
39000,Ohio,2,  Private industries,653403.7,674033.8,690001.9,719516.5
39000,Ohio,3,"      Agriculture, forestry, fishing and hunting",4525.2,6299,6945.9,6527.5
39000,Ohio,6,"      Mining, quarrying, and oil and gas extraction",5320.6,5572.4,5751.3,6376.8
39000,Ohio,10,      Utilities,11975.5,12102.8,12314.8,12966.8
39000,Ohio,11,      Construction,29270.1,28413.2,28944.4,30222.1
39000,Ohio,12,      Manufacturing,104975.7,109769.2,114159.1,123686.7
39000,Ohio,13,          Durable goods manufacturing,54980.8,56095.1,56416.3,60588.2
39000,Ohio,25,          Nondurable goods manufacturing,49994.9,53674.1,57742.9,63098.5
39000,Ohio,34,      Wholesale trade,46737.7,47622.9,48413.7,50465.4
39000,Ohio,35,      Retail trade,50757.9,52149.3,51230.2,52721.3
39000,Ohio,36,      Transportation and warehousing,25763.3,26343.8,28450.4,29901.6
39000,Ohio,45,      Information,18061,18971.7,19072.8,18710.2
39000,Ohio,51,      Finance and insurance,79614.6,83456.7,85912,89716.7
39000,Ohio,56,      Real estate and rental and leasing,83974.7,85526.5,87409.3,89827.1
39000,Ohio,60,"      Professional, scientific, and technical services",39226.1,40208.9,41515.9,42752
39000,Ohio,64,      Management of companies and enterprises,22844.9,23499.9,23149,24630.4
39000,Ohio,65,      Administrative and support and waste management and remediation services,22957.3,22460.4,23148.3,24244.6
39000,Ohio,69,      Educational services,5837.8,6016.3,6152.9,6260.9
39000,Ohio,70,      Health care and social assistance,62733.2,64005.9,63945.7,66076
39000,Ohio,76,"      Arts, entertainment, and recreation",6282.3,6593.9,6855.3,7112.3
39000,Ohio,79,      Accommodation and food services,17606,19547.1,20604,21068
39000,Ohio,82,      Other services (except government and government enterprises),14939.8,15473.8,16026.8,16250
39000,Ohio,83,  Government and government enterprises,78199.3,78506.4,80134.5,80587.3
39000,Ohio,84,    Federal civilian,13221,13314.9,13475.4,13645
39000,Ohio,85,    Military,5154.5,5255.5,5352.7,5480.7
39000,Ohio,86,    State and local,59823.8,59936,61306.4,61461.5
